symbol,sector,market_cap
RELIANCE,Energy / Oil & Gas,Large Cap
TCS,Information Technology,Large Cap
HDFCBANK,Financial Services,Large Cap
ICICIBANK,Financial Services,Large Cap
INFY,Information Technology,Large Cap
BHARTIARTL,Telecommunication,Large Cap
ITC,FMCG,Large Cap
SBIN,Financial Services,Large Cap
LT,Capital Goods,Large Cap
AXISBANK,Financial Services,Large Cap
KOTAKBANK,Financial Services,Large Cap
TATAMOTORS,Automobile,Large Cap
TATASTEEL,Metals & Mining,Large Cap
WIPRO,Information Technology,Large Cap
HCLTECH,Information Technology,Large Cap
SUNPHARMA,Healthcare / Pharma,Large Cap
BAJFINANCE,Financial Services,Large Cap
BAJAJFINSV,Financial Services,Large Cap
ULTRACEMCO,Cement & Building Materials,Large Cap
HINDUNILVR,FMCG,Large Cap
NESTLEIND,FMCG,Large Cap
TITAN,Consumer Durables,Large Cap
ASIANPAINT,Consumer Durables,Large Cap
MARUTI,Automobile,Large Cap
POWERGRID,Power / Utilities,Large Cap
NTPC,Power / Utilities,Large Cap
ONGC,Energy / Oil & Gas,Large Cap
COALINDIA,Energy / Oil & Gas,Large Cap
BPCL,Energy / Oil & Gas,Large Cap
IOC,Energy / Oil & Gas,Large Cap
ADANIENT,Capital Goods,Large Cap
ADANIPORTS,Infrastructure,Large Cap
ADANIGREEN,Power / Utilities,Large Cap
VEDL,Metals & Mining,Large Cap
HINDALCO,Metals & Mining,Large Cap
JSWSTEEL,Metals & Mining,Large Cap
GRASIM,Cement & Building Materials,Large Cap
DRREDDY,Healthcare / Pharma,Large Cap
CIPLA,Healthcare / Pharma,Large Cap
DIVISLAB,Healthcare / Pharma,Large Cap
EICHERMOT,Automobile,Large Cap
HEROMOTOCO,Automobile,Large Cap
TECHM,Information Technology,Large Cap
LTIM,Information Technology,Large Cap
MPHASIS,Information Technology,Mid Cap
PERSISTENT,Information Technology,Mid Cap
COFORGE,Information Technology,Mid Cap
SBILIFE,Financial Services,Large Cap
ICICIPRULI,Financial Services,Large Cap
SHRIRAMFIN,Financial Services,Large Cap
CHOLAFIN,Financial Services,Mid Cap
MUTHOOTFIN,Financial Services,Large Cap
INDHOTEL,Consumer Services,Large Cap
HAVELLS,Consumer Durables,Large Cap
VOLTAS,Consumer Durables,Large Cap
TATACONSUM,FMCG,Large Cap
GODREJCP,FMCG,Large Cap
DABUR,FMCG,Large Cap
MARICO,FMCG,Large Cap
PIDILITIND,Chemicals,Large Cap
SIEMENS,Capital Goods,Large Cap
ABB,Capital Goods,Large Cap
DLF,Realty,Large Cap
GAIL,Energy / Oil & Gas,Large Cap
PNB,Financial Services,Large Cap
BANKBARODA,Financial Services,Large Cap
INDUSINDBK,Financial Services,Large Cap
TATAPOWER,Power / Utilities,Large Cap
ZOMATO,Consumer Services,Large Cap
DMART,Consumer Services,Large Cap
PAYTM,Financial Services,Mid Cap
IRCTC,Consumer Services,Mid Cap
TVSMOTOR,Automobile,Large Cap
BAJAJHLDNG,Financial Services,Large Cap
HDFCLIFE,Financial Services,Large Cap
NUVAMA,Financial Services,Mid Cap
UJJIVANSFB,Financial Services,Mid Cap
INTELLECT,Information Technology,Mid Cap
RATEGAIN,Information Technology,Mid Cap
HAL,Capital Goods,Large Cap
APOLLOHOSP,Healthcare / Pharma,Large Cap
AUBANK,Financial Services,Mid Cap
AARTIPHARM,Healthcare / Pharma,Mid Cap
AARTIDRUGS,Healthcare / Pharma,Small Cap
